# LAMMPS data file written by OVITO Basic 3.10.6

900 atoms
1 atom types

0.0 16.9065490001 xlo xhi
0.0 16.9065489999 ylo yhi
0.0 16.906548 zlo zhi
-5.0008564142e-05 2.9032094602e-05 -1.8911988845e-05 xy xz yz

Masses

1 12.011


Atoms  # atomic

1 1 13.1136498417 12.4363896235 14.0786654573
2 1 2.1772237711 14.2551054729 10.8188111457
3 1 12.695117784 16.192039116 12.3038899299
4 1 0.0721775765 10.2700503555 14.2429752945
5 1 15.5460568177 11.8579097054 14.1031647361
6 1 14.8801297153 16.0008317386 14.7725186405
7 1 15.0911303525 14.1605162635 16.5100928307
8 1 0.3232968111 14.5636893043 14.5177606313
9 1 1.6174004078 0.1508562897 11.2643250597
10 1 16.4889937861 13.7728879053 13.4029502951
11 1 1.744119687 0.933953599 13.5354078577
12 1 4.0668643168 1.5299201033 13.4892404708
13 1 0.1786862141 15.1132324332 16.6513292873
14 1 1.4196197866 12.708929202 15.9618261589
15 1 13.7164095488 16.0049709014 15.5886267918
16 1 15.5351464153 16.7919309502 0.3923376641
17 1 12.9849325013 3.8363623316 11.863535049
18 1 14.2698591096 14.1262733053 0.7261854177
19 1 14.3404370442 16.6823730086 1.1066515067
20 1 12.5467727519 2.4981763974 14.3892791508
21 1 0.8763144982 0.0603867011 16.6136983547
22 1 13.5303157784 1.4757253458 0.0106582965
23 1 14.7573318182 1.8537305217 16.3649274613
24 1 4.7975245044 16.0559656432 12.8455774185
25 1 16.7984499628 16.5355446118 12.9764956399
26 1 0.1508639009 2.4640282122 10.6103217936
27 1 14.8824975913 1.9123756399 14.9875433878
28 1 16.8288846091 16.2041236736 0.5818230756
29 1 16.6994571285 16.7498687772 14.4764493122
30 1 2.2157332211 1.7870626895 0.1032702891
31 1 16.3168973439 15.5384734991 15.1957443142
32 1 12.2556781625 15.2645503875 3.4002785778
33 1 16.5194868332 13.3942492246 1.2649697646
34 1 11.8981430701 16.2612871028 2.6797157538
35 1 14.6431601288 14.9417760329 2.7341967666
36 1 14.260104595 0.8339752802 2.2795022589
37 1 1.090275968 15.1668105517 2.5228140279
38 1 16.7937604543 15.835134412 2.0405692858
39 1 13.9560364359 13.6451951999 2.8919659675
40 1 3.1541897051 13.7175174744 0.0683301485
41 1 0.8924571514 12.71406332 1.3576368704
42 1 3.8633445832 15.0489805739 0.5165727946
43 1 3.0347358434 14.0900859434 2.3065824912
44 1 5.8431102559 13.3927660174 3.0747555069
45 1 1.3652985966 16.0159212872 3.6362192609
46 1 1.1207573733 11.3622549451 0.8505839839
47 1 13.4255387933 1.6858719307 1.4555129343
48 1 15.6126563016 1.4295062528 2.5525526458
49 1 16.4397704882 0.1470003658 2.8005629136
50 1 0.5666377997 4.0636358187 1.9489459396
51 1 13.8656773703 0.5454975336 3.6692402851
52 1 0.1811523047 15.5313472095 4.4740672041
